Hanzi,English,Pinyin,Pinyin + English,Hanzi + Pinyin
结束,end/finish,jiéshù,jiéshù - end/finish,结束 - jiéshù
论文,thesis,lùnwén,lùnwén - thesis,论文 - lùnwén
口音,accent,kǒuyīn,kǒuyīn - accent,口音 - kǒuyīn
方言,dialect,fāngyán,fāngyán - dialect,方言 - fāngyán
速度,speed,sùdù,sùdù - speed,速度 - sùdù
科学,science,kēxué,kēxué - science,科学 - kēxué
政治科學,political science,zhèngzhì kēxue,zhèngzhì kēxue - political science,政治科學 - zhèngzhì kēxue
政治,politics,zhèngzhì,zhèngzhì - politics,政治 - zhèngzhì
哲学,philosophy,zhéxué,zhéxué - philosophy,哲学 - zhéxué
脑,brain,nǎo,nǎo - brain,脑 - nǎo
神经科学,neuroscience,shénjīng kēxué,shénjīng kēxué - neuroscience,神经科学 - shénjīng kēxué
神经,neuron,shénjīng,shénjīng - neuron,神经 - shénjīng
医学,medicine,yīxué,yīxué - medicine,医学 - yīxué
辛苦,hard,xīnkǔ,xīnkǔ - hard,辛苦 - xīnkǔ
压力,pressure/stress,yālì,yālì - pressure/stress,压力 - yālì
毕业,graduation,bìyè,bìyè - graduation,毕业 - bìyè
教授,professor,jiàoshòu,jiàoshòu - professor,教授 - jiàoshòu
教育,education,jiàoyù,jiàoyù - education,教育 - jiàoyù
经济,Economics,jīngjì,jīngjì - Economics,经济 - jīngjì
留学,Overseas Study,liúxué,liúxué - Overseas Study,留学 - liúxué
流利,fluent,liúlì,liúlì - fluent,流利 - liúlì
压力,pressure,yālì,yālì - pressure,压力 - yālì
知识,knowledge,zhīshì,zhīshì - knowledge,知识 - zhīshì
机会,opportunity (n.) ,jīhuì,jīhuì - opportunity (n.) ,机会 - jīhuì
教育,éducation (n.) ,jiàoyù,jiàoyù - éducation (n.) ,教育 - jiàoyù
疫苗,vaccine (n.) ,yìmiáo,yìmiáo - vaccine (n.) ,疫苗 - yìmiáo
病毒,virus (n.) ,bìngdú,bìngdú - virus (n.) ,病毒 - bìngdú
感染,to infect (v.) ,gǎnrǎn,gǎnrǎn - to infect (v.) ,感染 - gǎnrǎn
安全,safety (n.); safe (adj.) ,ānquán,ānquán - safety (n.); safe (adj.) ,安全 - ānquán
专心,to concentrate (v.),zhuānxīn,zhuānxīn - to concentrate (v.),专心 - zhuānxīn
困难,difficult (adj.),kùnnán,kùnnán - difficult (adj.),困难 - kùnnán
研究,"to research, to have knowledge in sth. (v.) ",yánjiū,"yánjiū - to research, to have knowledge in sth. (v.) ",研究 - yánjiū
声音,sound (n.) ,shēngyīn,shēngyīn - sound (n.) ,声音 - shēngyīn
老板,boss (n.) ,lǎobǎn,lǎobǎn - boss (n.) ,老板 - lǎobǎn
顾问,consultant,Gùwèn,Gùwèn - consultant,顾问 - Gùwèn
电脑语言,computer language ,diànnǎo yǔyán,diànnǎo yǔyán - computer language ,电脑语言 - diànnǎo yǔyán
数据,data,shùjù,shùjù - data,数据 - shùjù
主管,supervisor/manager,zhǔguǎn,zhǔguǎn - supervisor/manager,主管 - zhǔguǎn
领域,area/field,lǐngyù,lǐngyù - area/field,领域 - lǐngyù
媒体,media,méitǐ,méitǐ - media,媒体 - méitǐ
顾客,customer (n.),gùkè,gùkè - customer (n.),顾客 - gùkè
客户,client (n.),kèhù,kèhù - client (n.),客户 - kèhù
聚会,meeting (n.),jùhuì,jùhuì - meeting (n.),聚会 - jùhuì
加入,to take part in/ to join/ to participate (v.) ,jiārù,jiārù - to take part in/ to join/ to participate (v.) ,加入 - jiārù
做生意,Do business,zuò shēngyì,zuò shēngyì - Do business,做生意 - zuò shēngyì
笔记本,notebook,bǐjìběn,bǐjìběn - notebook,笔记本 - bǐjìběn
负责,be responsible for,fùzé,fùzé - be responsible for,负责 - fùzé
工资,wages,gōngzī,gōngzī - wages,工资 - gōngzī
顾客,customer,gùkè,gùkè - customer,顾客 - gùkè
护士,Nurse,hùshì,hùshì - Nurse,护士 - hùshì
记者,Reporter,jìzhě,jìzhě - Reporter,记者 - jìzhě
技术,technology,jìshù,jìshù - technology,技术 - jìshù
加班,overtime work,jiābān,jiābān - overtime work,加班 - jiābān
奖金,bonus,jiǎngjīn,jiǎngjīn - bonus,奖金 - jiǎngjīn
经历,experience,jīnglì,jīnglì - experience,经历 - jīnglì
经验,experience,jīngyàn,jīngyàn - experience,经验 - jīngyàn
警察,Policeman,jǐngchá,jǐngchá - Policeman,警察 - jǐngchá
律师,Lawyer,lǜshī,lǜshī - Lawyer,律师 - lǜshī
判断,judge,pànduàn,pànduàn - judge,判断 - pànduàn
演员,"performer, actor",yǎnyuán,"yǎnyuán - performer, actor",演员 - yǎnyuán
招聘,recruit,zhāopìn,zhāopìn - recruit,招聘 - zhāopìn
专门,specialized,zhuānmén,zhuānmén - specialized,专门 - zhuānmén
赚,earn,zhuàn,zhuàn - earn,赚 - zhuàn
准时,on time,zhǔnshí,zhǔnshí - on time,准时 - zhǔnshí
作者,author,zuòzhě,zuòzhě - author,作者 - zuòzhě
